"rules","support","confidence","coverage","lift","count"
"{M-Medium-Short Sub-Saturn} => {M-Medium-Long Sub-Saturn}",0.000733675715333822,0.5,0.00146735143066764,340.75,2
"{M-Medium-Long Sub-Saturn} => {M-Medium-Short Sub-Saturn}",0.000733675715333822,0.5,0.00146735143066764,340.75,2
"{K-Medium-Long Terrestrial} => {K-Medium-Short Terrestrial}",0.000733675715333822,0.5,0.00146735143066764,21.296875,2
"{K-Medium-Long Terrestrial} => {K-Short Terrestrial}",0.000733675715333822,0.5,0.00146735143066764,5.70292887029289,2
"{M-Medium-Long Sub-Saturn} => {M-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,34.948717948718,2
"{M-Medium-Long Sub-Saturn} => {M-Medium-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,41.3030303030303,2
"{M-Medium-Short Terrestrial} => {M-Short Terrestrial}",0.00513573000733676,0.666666666666667,0.00770359501100514,26.3381642512077,14
"{K-Medium-Long Terrestrial,K-Medium-Short Terrestrial} => {K-Short Terrestrial}",0.000733675715333822,1,0.000733675715333822,11.4058577405858,2
"{K-Medium-Long Terrestrial,K-Short Terrestrial} => {K-Medium-Short Terrestrial}",0.000733675715333822,1,0.000733675715333822,42.59375,2
"{G-Medium-Long Sub-Saturn,G-Short Mini-Neptune} => {G-Medium-Short Sub-Saturn}",0.000733675715333822,0.666666666666667,0.00110051357300073,27.5353535353535,2
"{G-Medium-Long Sub-Saturn,G-Short Mini-Neptune} => {G-Medium-Short Mini-Neptune}",0.000733675715333822,0.666666666666667,0.00110051357300073,4.13971146545178,2
"{K-Medium-Short Sub-Saturn,K-Short Sub-Saturn} => {K-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,7.17368421052632,2
"{K-Short Mini-Neptune,K-Short Sub-Saturn} => {K-Medium-Short Sub-Saturn}",0.000733675715333822,0.666666666666667,0.00110051357300073,56.7916666666667,2
"{F-Medium-Short Sub-Saturn,F-Short Mini-Neptune} => {F-Short Terrestrial}",0.000733675715333822,0.5,0.00146735143066764,13.2330097087379,2
"{F-Medium-Short Sub-Saturn,F-Short Terrestrial} => {F-Short Mini-Neptune}",0.000733675715333822,0.666666666666667,0.00110051357300073,22.1626016260163,2
"{G-Medium-Long Mini-Neptune,G-Medium-Short Sub-Saturn} => {G-Medium-Short Mini-Neptune}",0.000733675715333822,1,0.000733675715333822,6.20956719817768,2
"{G-Medium-Long Mini-Neptune,G-Medium-Short Terrestrial} => {G-Medium-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,3.10478359908884,2
"{G-Medium-Long Mini-Neptune,G-Short Terrestrial} => {G-Medium-Short Mini-Neptune}",0.00110051357300073,1,0.00110051357300073,6.20956719817768,3
"{G-Long Gas Giant,G-Short Mini-Neptune} => {G-Medium-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,3.10478359908884,2
"{G-Long Gas Giant,G-Medium-Short Mini-Neptune} => {G-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,5.18250950570342,2
"{K-Medium-Short Mini-Neptune,K-Medium-Short Terrestrial} => {K-Short Terrestrial}",0.00293470286133529,0.571428571428571,0.00513573000733676,6.51763299462044,8
