"rules","support","confidence","coverage","lift","count"
"{M-Warm Sub-Saturn} => {M-Temperate Sub-Saturn}",0.000574712643678161,0.5,0.00114942528735632,435,2
"{M-Temperate Sub-Saturn} => {M-Warm Sub-Saturn}",0.000574712643678161,0.5,0.00114942528735632,435,2
"{K-Temperate Terrestrial} => {K-Warm Terrestrial}",0.000574712643678161,0.5,0.00114942528735632,26.7692307692308,2
"{K-Temperate Terrestrial} => {K-Hot Terrestrial}",0.000574712643678161,0.5,0.00114942528735632,7.25,2
"{M-Temperate Sub-Saturn} => {M-Warm Mini-Neptune}",0.000574712643678161,0.5,0.00114942528735632,51.1764705882353,2
"{M-Temperate Sub-Saturn} => {M-Hot Mini-Neptune}",0.000574712643678161,0.5,0.00114942528735632,42.4390243902439,2
"{M-Warm Terrestrial} => {M-Hot Terrestrial}",0.00402298850574713,0.666666666666667,0.00603448275862069,33.1428571428571,14
"{K-Temperate Terrestrial,K-Warm Terrestrial} => {K-Hot Terrestrial}",0.000574712643678161,1,0.000574712643678161,14.5,2
"{K-Hot Terrestrial,K-Temperate Terrestrial} => {K-Warm Terrestrial}",0.000574712643678161,1,0.000574712643678161,53.5384615384615,2
"{K-Warm Gas Giant,K-Warm Sub-Saturn} => {K-Cold Gas Giant}",0.000574712643678161,0.5,0.00114942528735632,24.5070422535211,2
"{K-Cold Gas Giant,K-Warm Gas Giant} => {K-Warm Sub-Saturn}",0.000574712643678161,0.666666666666667,0.000862068965517241,62.7027027027027,2
"{K-Hot Sub-Saturn,K-Warm Sub-Saturn} => {K-Hot Mini-Neptune}",0.000574712643678161,0.5,0.00114942528735632,8.96907216494845,2
"{K-Hot Mini-Neptune,K-Hot Sub-Saturn} => {K-Warm Sub-Saturn}",0.000574712643678161,0.666666666666667,0.000862068965517241,62.7027027027027,2
"{G-Cold Gas Giant,G-Temperate Sub-Saturn} => {G-Warm Sub-Saturn}",0.000574712643678161,0.5,0.00114942528735632,17.9381443298969,2
"{G-Hot Mini-Neptune,G-Temperate Sub-Saturn} => {G-Warm Sub-Saturn}",0.000574712643678161,0.666666666666667,0.000862068965517241,23.9175257731959,2
"{G-Hot Mini-Neptune,G-Temperate Sub-Saturn} => {G-Warm Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,4.15770609318996,2
"{F-Hot Mini-Neptune,F-Warm Sub-Saturn} => {F-Hot Terrestrial}",0.000574712643678161,0.5,0.00114942528735632,15.5357142857143,2
"{F-Hot Terrestrial,F-Warm Sub-Saturn} => {F-Hot Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,26.0674157303371,2
"{G-Temperate Mini-Neptune,G-Warm Sub-Saturn} => {G-Warm Mini-Neptune}",0.000574712643678161,1,0.000574712643678161,6.23655913978495,2
"{G-Hot Terrestrial,G-Temperate Mini-Neptune} => {G-Warm Mini-Neptune}",0.000862068965517241,1,0.000862068965517241,6.23655913978495,3
"{K-Warm Mini-Neptune,K-Warm Terrestrial} => {K-Hot Terrestrial}",0.00229885057471264,0.571428571428571,0.00402298850574713,8.28571428571428,8
"{G-Hot Mini-Neptune,G-Temperate Gas Giant} => {G-Cold Gas Giant}",0.000574712643678161,0.666666666666667,0.000862068965517241,19.016393442623,2
"{G-Hot Mini-Neptune,G-Warm Sub-Saturn} => {G-Warm Mini-Neptune}",0.00229885057471264,0.5,0.00459770114942529,3.11827956989247,8
