"rules","support","confidence","coverage","lift","count"
"{M-Hot Sub-Saturn} => {M-Hot Mini-Neptune}",0.000566091140673648,0.666666666666667,0.000849136711010473,294.416666666667,2
"{K-Cold Terrestrial,K-Temperate Terrestrial} => {K-Warm Terrestrial}",0.000566091140673648,0.666666666666667,0.000849136711010473,12.2037996545769,2
"{K-Cold Terrestrial,K-Warm Terrestrial} => {K-Temperate Terrestrial}",0.000566091140673648,1,0.000566091140673648,107.060606060606,2
"{G-Cold Terrestrial,G-Hot Mini-Neptune} => {G-Warm Mini-Neptune}",0.000566091140673648,1,0.000566091140673648,5.40214067278287,2
"{G-Cold Terrestrial,G-Warm Mini-Neptune} => {G-Hot Mini-Neptune}",0.000566091140673648,1,0.000566091140673648,19.8483146067416,2
"{M-Temperate Mini-Neptune,M-Temperate Terrestrial} => {M-Warm Terrestrial}",0.000849136711010473,1,0.000849136711010473,72.1020408163265,3
"{G-Temperate Sub-Saturn,G-Warm Gas Giant} => {G-Warm Sub-Saturn}",0.000566091140673648,0.5,0.0011321822813473,17.3186274509804,2
"{F-Hot Terrestrial,F-Warm Sub-Saturn} => {F-Hot Mini-Neptune}",0.000566091140673648,0.666666666666667,0.000849136711010473,25.6014492753623,2
"{G-Temperate Gas Giant,G-Temperate Mini-Neptune} => {G-Warm Mini-Neptune}",0.000566091140673648,0.666666666666667,0.000849136711010473,3.60142711518858,2
"{K-Hot Terrestrial,K-Warm Terrestrial} => {K-Warm Mini-Neptune}",0.00198131899235777,0.583333333333333,0.00339654684404189,6.86972222222222,7
"{G-Temperate Mini-Neptune,G-Warm Terrestrial} => {G-Warm Mini-Neptune}",0.000849136711010473,0.75,0.0011321822813473,4.05160550458716,3
"{G-Hot Terrestrial,G-Temperate Mini-Neptune} => {G-Warm Mini-Neptune}",0.0011321822813473,0.8,0.00141522785168412,4.3217125382263,4
"{G-Hot Mini-Neptune,G-Warm Sub-Saturn} => {G-Warm Mini-Neptune}",0.00169827342202095,0.75,0.00226436456269459,4.05160550458716,6
"{G-Hot Terrestrial,G-Warm Sub-Saturn} => {G-Warm Mini-Neptune}",0.0011321822813473,0.666666666666667,0.00169827342202095,3.60142711518858,4
