"rules","support","confidence","coverage","lift","count"
"{L} => {Gas Giant}",0.000566091140673648,1,0.000566091140673648,5.80131362889984,2
"{B} => {Gas Giant}",0.00169827342202095,0.666666666666667,0.00254741013303142,3.86754241926656,6
"{G} => {Mini-Neptune}",0.227002547410133,0.50440251572327,0.450042456835551,1.10207426595567,802
"{A,Terrestrial} => {Mini-Neptune}",0.0011321822813473,1,0.0011321822813473,2.18491032776747,4
"{Hot Jupiter,M} => {Gas Giant}",0.00198131899235777,0.583333333333333,0.00339654684404189,3.38409961685824,7
"{Sub-Saturn,Terrestrial} => {K}",0.00339654684404189,0.5,0.00679309368808378,1.66650943396226,12
"{Sub-Saturn,Terrestrial} => {Mini-Neptune}",0.00339654684404189,0.5,0.00679309368808378,1.09245516388374,12
"{Hot Jupiter,Mini-Neptune} => {K}",0.000566091140673648,0.666666666666667,0.000849136711010473,2.22201257861635,2
"{Gas Giant,Mini-Neptune,Sub-Saturn} => {K}",0.000849136711010473,0.5,0.00169827342202095,1.66650943396226,3
"{F,Sub-Saturn,Terrestrial} => {Mini-Neptune}",0.000566091140673648,0.666666666666667,0.000849136711010473,1.45660688517831,2
"{K,Sub-Saturn,Terrestrial} => {Mini-Neptune}",0.00198131899235777,0.583333333333333,0.00339654684404189,1.27453102453102,7
"{Mini-Neptune,Sub-Saturn,Terrestrial} => {K}",0.00198131899235777,0.583333333333333,0.00339654684404189,1.94426100628931,7
"{Gas Giant,Mini-Neptune,Terrestrial} => {K}",0.000566091140673648,0.666666666666667,0.000849136711010473,2.22201257861635,2
