"rules","support","confidence","coverage","lift","count"
"{B} => {Gas Giant}",0.00218261185885777,0.666666666666667,0.00327391778828665,5.76310272536688,6
"{K} => {Mini-Neptune}",0.145143688614041,0.50828025477707,0.285558384867224,1.00162180672557,399
"{G} => {Mini-Neptune}",0.238632229901782,0.55593220338983,0.429246998908694,1.09552518073021,656
"{A,Terrestrial} => {Mini-Neptune}",0.00145507457257184,1,0.00145507457257184,1.97060931899642,4
"{Hot Jupiter,M} => {Gas Giant}",0.00145507457257184,0.5,0.00291014914514369,4.32232704402516,4
"{Sub-Saturn,Terrestrial} => {G}",0.00400145507457257,0.578947368421053,0.00691160421971626,1.34875111507583,11
"{Sub-Saturn,Terrestrial} => {Mini-Neptune}",0.00400145507457257,0.578947368421053,0.00691160421971626,1.14087907941898,11
"{Gas Giant,Terrestrial} => {K}",0.00218261185885777,0.6,0.00363768643142961,2.10114649681529,6
"{F,Gas Giant,Mini-Neptune} => {Sub-Saturn}",0.000727537286285922,0.5,0.00145507457257184,5.09074074074074,2
"{F,Sub-Saturn,Terrestrial} => {Mini-Neptune}",0.00109130592942888,1,0.00109130592942888,1.97060931899642,3
"{G,Sub-Saturn,Terrestrial} => {Mini-Neptune}",0.00291014914514369,0.727272727272727,0.00400145507457257,1.43317041381558,8
"{Mini-Neptune,Sub-Saturn,Terrestrial} => {G}",0.00291014914514369,0.727272727272727,0.00400145507457257,1.69429892141757,8
"{Gas Giant,Mini-Neptune,Terrestrial} => {K}",0.000727537286285922,0.666666666666667,0.00109130592942888,2.33460721868365,2
