"rules","support","confidence","coverage","lift","count"
"{Medium-Long Terrestrial,Medium-Short Terrestrial} => {Short Terrestrial}",0.000733675715333822,1,0.000733675715333822,4.00882352941176,2
"{Medium-Long Terrestrial,Short Terrestrial} => {Medium-Short Terrestrial}",0.000733675715333822,1,0.000733675715333822,12.9809523809524,2
"{K,Long Sub-Saturn} => {Medium-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,1.5436013590034,2
"{Long Sub-Saturn,Medium-Short Mini-Neptune} => {K}",0.000733675715333822,0.666666666666667,0.00110051357300073,2.31802721088435,2
"{Long Gas Giant,Medium-Long Sub-Saturn} => {K}",0.000733675715333822,0.5,0.00146735143066764,1.73852040816327,2
"{Long Gas Giant,Medium-Long Sub-Saturn} => {Medium-Short Mini-Neptune}",0.000733675715333822,0.5,0.00146735143066764,1.5436013590034,2
"{M,Medium-Long Sub-Saturn} => {Medium-Short Sub-Saturn}",0.000733675715333822,0.666666666666667,0.00110051357300073,13.1690821256039,2
"{Medium-Long Sub-Saturn,Medium-Short Terrestrial} => {Medium-Short Sub-Saturn}",0.000733675715333822,0.666666666666667,0.00110051357300073,13.1690821256039,2
"{Medium-Short Sub-Saturn,Medium-Short Terrestrial} => {Medium-Long Sub-Saturn}",0.000733675715333822,1,0.000733675715333822,64.9047619047619,2
"{Medium-Long Sub-Saturn,Medium-Short Terrestrial} => {Medium-Short Mini-Neptune}",0.000733675715333822,0.666666666666667,0.00110051357300073,2.05813514533786,2
"{Medium-Long Sub-Saturn,Medium-Short Terrestrial} => {G}",0.00110051357300073,1,0.00110051357300073,2.30626057529611,3
"{Medium-Long Sub-Saturn,Short Mini-Neptune} => {Medium-Short Mini-Neptune}",0.00110051357300073,0.5,0.00220102714600147,1.5436013590034,3
"{Medium-Long Sub-Saturn,Short Mini-Neptune} => {G}",0.00110051357300073,0.5,0.00220102714600147,1.15313028764805,3
"{Medium-Long Sub-Saturn,Medium-Short Mini-Neptune} => {G}",0.00256786500366838,0.538461538461538,0.00476889214966985,1.24183261746714,7
"{Medium-Short Gas Giant,Short Sub-Saturn} => {K}",0.000733675715333822,1,0.000733675715333822,3.47704081632653,2
