"rules","support","confidence","coverage","lift","count"
"{L} => {Temperate Gas Giant}",0.000574712643678161,1,0.000574712643678161,12.5631768953069,2
"{Temperate Gas Giant} => {K}",0.046551724137931,0.584837545126354,0.0795977011494253,1.93279644543182,162
"{Warm Mini-Neptune} => {G}",0.147701149425287,0.502443792766373,0.293965517241379,1.10176710701133,514
"{Cold Sub-Saturn,K} => {Warm Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.26783968719453,2
"{Cold Sub-Saturn,Warm Mini-Neptune} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Temperate Terrestrial,Warm Terrestrial} => {Hot Terrestrial}",0.000574712643678161,1,0.000574712643678161,4.60927152317881,2
"{Hot Terrestrial,Temperate Terrestrial} => {Warm Terrestrial}",0.000574712643678161,1,0.000574712643678161,13.3333333333333,2
"{A,Temperate Sub-Saturn} => {Warm Mini-Neptune}",0.000574712643678161,1,0.000574712643678161,3.40175953079179,2
"{A,Warm Terrestrial} => {Hot Terrestrial}",0.000574712643678161,0.666666666666667,0.000862068965517241,3.07284768211921,2
"{A,Hot Terrestrial} => {Warm Terrestrial}",0.000574712643678161,1,0.000574712643678161,13.3333333333333,2
"{Temperate Sub-Saturn,Warm Gas Giant} => {G}",0.000574712643678161,0.666666666666667,0.000862068965517241,1.46187775677379,2
"{M,Temperate Sub-Saturn} => {Warm Sub-Saturn}",0.000574712643678161,0.5,0.00114942528735632,9.7752808988764,2
"{M,Temperate Sub-Saturn} => {Cold Gas Giant}",0.000574712643678161,0.5,0.00114942528735632,7.46781115879828,2
"{Temperate Sub-Saturn,Warm Terrestrial} => {Warm Sub-Saturn}",0.000574712643678161,0.666666666666667,0.000862068965517241,13.0337078651685,2
"{Warm Sub-Saturn,Warm Terrestrial} => {Temperate Sub-Saturn}",0.000574712643678161,0.666666666666667,0.000862068965517241,40.7017543859649,2
"{Temperate Sub-Saturn,Warm Terrestrial} => {Warm Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.26783968719453,2
"{Hot Mini-Neptune,Temperate Sub-Saturn} => {K}",0.00114942528735632,0.571428571428571,0.00201149425287356,1.88848188848189,4
"{Hot Terrestrial,Temperate Sub-Saturn} => {Warm Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.26783968719453,2
"{Temperate Gas Giant,Warm Gas Giant} => {K}",0.0014367816091954,0.625,0.00229885057471264,2.06552706552707,5
"{Hot Mini-Neptune,Warm Gas Giant} => {F}",0.000574712643678161,0.5,0.00114942528735632,2.69349845201238,2
"{Warm Gas Giant,Warm Mini-Neptune} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Hot Sub-Saturn,Temperate Gas Giant} => {K}",0.000862068965517241,0.75,0.00114942528735632,2.47863247863248,3
"{Hot Mini-Neptune,Hot Sub-Saturn} => {K}",0.00114942528735632,0.571428571428571,0.00201149425287356,1.88848188848189,4
"{Hot Sub-Saturn,Warm Mini-Neptune} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Cold Gas Giant,Temperate Mini-Neptune} => {M}",0.000574712643678161,1,0.000574712643678161,19.8857142857143,2
"{Temperate Mini-Neptune,Warm Sub-Saturn} => {Warm Mini-Neptune}",0.000574712643678161,1,0.000574712643678161,3.40175953079179,2
"{Cold Gas Giant,Temperate Mini-Neptune} => {Hot Mini-Neptune}",0.000574712643678161,1,0.000574712643678161,5.21739130434783,2
"{Temperate Gas Giant,Temperate Mini-Neptune} => {Warm Mini-Neptune}",0.000574712643678161,1,0.000574712643678161,3.40175953079179,2
"{Temperate Mini-Neptune,Warm Terrestrial} => {G}",0.0014367816091954,0.555555555555556,0.00258620689655172,1.21823146397816,5
"{Hot Mini-Neptune,Temperate Mini-Neptune} => {K}",0.00229885057471264,0.666666666666667,0.00344827586206897,2.20322886989554,8
"{Warm Sub-Saturn,Warm Terrestrial} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Cold Gas Giant,Hot Terrestrial} => {K}",0.000862068965517241,0.75,0.00114942528735632,2.47863247863248,3
"{Temperate Gas Giant,Warm Terrestrial} => {Hot Terrestrial}",0.000574712643678161,0.666666666666667,0.000862068965517241,3.07284768211921,2
"{Temperate Gas Giant,Warm Terrestrial} => {G}",0.000574712643678161,0.666666666666667,0.000862068965517241,1.46187775677379,2
"{Hot Gas Giant,Temperate Gas Giant} => {K}",0.00114942528735632,0.666666666666667,0.00172413793103448,2.20322886989554,4
"{Hot Mini-Neptune,Temperate Gas Giant} => {K}",0.00172413793103448,0.545454545454545,0.00316091954022989,1.8026418026418,6
"{Hot Mini-Neptune,Warm Terrestrial} => {K}",0.00344827586206897,0.666666666666667,0.00517241379310345,2.20322886989554,12
"{Hot Gas Giant,Hot Mini-Neptune} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Hot Gas Giant,Hot Terrestrial} => {G}",0.000574712643678161,1,0.000574712643678161,2.19281663516068,2
"{Hot Mini-Neptune,Temperate Sub-Saturn,Warm Sub-Saturn} => {K}",0.000574712643678161,1,0.000574712643678161,3.3048433048433,2
"{Hot Mini-Neptune,K,Temperate Sub-Saturn} => {Warm Sub-Saturn}",0.000574712643678161,0.5,0.00114942528735632,9.7752808988764,2
"{Temperate Sub-Saturn,Warm Mini-Neptune,Warm Sub-Saturn} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Hot Mini-Neptune,K,Temperate Sub-Saturn} => {Warm Mini-Neptune}",0.000574712643678161,0.5,0.00114942528735632,1.70087976539589,2
"{Hot Mini-Neptune,Temperate Sub-Saturn,Warm Mini-Neptune} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Hot Mini-Neptune,Hot Sub-Saturn,Warm Sub-Saturn} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Hot Sub-Saturn,K,Warm Sub-Saturn} => {Hot Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,3.47826086956522,2
"{Hot Mini-Neptune,Hot Sub-Saturn,K} => {Warm Sub-Saturn}",0.000574712643678161,0.5,0.00114942528735632,9.7752808988764,2
"{Hot Sub-Saturn,Hot Terrestrial,Warm Sub-Saturn} => {G}",0.000574712643678161,1,0.000574712643678161,2.19281663516068,2
"{G,Hot Sub-Saturn,Warm Sub-Saturn} => {Hot Terrestrial}",0.000574712643678161,0.666666666666667,0.000862068965517241,3.07284768211921,2
"{G,Hot Sub-Saturn,Hot Terrestrial} => {Warm Sub-Saturn}",0.000574712643678161,0.666666666666667,0.000862068965517241,13.0337078651685,2
"{Cold Gas Giant,M,Temperate Mini-Neptune} => {Hot Mini-Neptune}",0.000574712643678161,1,0.000574712643678161,5.21739130434783,2
"{Hot Mini-Neptune,M,Temperate Mini-Neptune} => {Cold Gas Giant}",0.000574712643678161,1,0.000574712643678161,14.9356223175966,2
"{Cold Gas Giant,Hot Mini-Neptune,Temperate Mini-Neptune} => {M}",0.000574712643678161,1,0.000574712643678161,19.8857142857143,2
