"rules","support","confidence","coverage","lift","count"
"{Temperate Sub-Saturn} => {G}",0.00849136711010473,0.508474576271186,0.0166996886498726,1.1298369043812,30
"{Temperate Terrestrial} => {K}",0.00990659496178885,0.507246376811594,0.0195301443532409,1.6906617445994,35
"{Warm Mini-Neptune} => {G}",0.172374752335126,0.51962457337884,0.331729408434758,1.15461233820594,609
"{B,Hot Mini-Neptune} => {Warm Mini-Neptune}",0.000566091140673648,1,0.000566091140673648,3.01450511945392,2
"{B,Warm Mini-Neptune} => {Hot Mini-Neptune}",0.000566091140673648,0.666666666666667,0.000849136711010473,7.40670859538784,2
"{A,Warm Terrestrial} => {Warm Mini-Neptune}",0.000566091140673648,1,0.000566091140673648,3.01450511945392,2
"{Cold Terrestrial,Warm Terrestrial} => {Temperate Terrestrial}",0.000566091140673648,0.5,0.0011321822813473,25.6014492753623,2
"{Cold Terrestrial,Temperate Terrestrial} => {K}",0.000849136711010473,0.5,0.00169827342202095,1.66650943396226,3
"{Cold Terrestrial,Temperate Mini-Neptune} => {G}",0.000566091140673648,0.666666666666667,0.000849136711010473,1.48134171907757,2
"{Cold Terrestrial,Hot Mini-Neptune} => {Warm Mini-Neptune}",0.000566091140673648,1,0.000566091140673648,3.01450511945392,2
"{Cold Terrestrial,Warm Mini-Neptune} => {Hot Mini-Neptune}",0.000566091140673648,1,0.000566091140673648,11.1100628930818,2
"{Cold Terrestrial,Warm Terrestrial} => {F}",0.000566091140673648,0.5,0.0011321822813473,2.69283536585366,2
"{Cold Terrestrial,F} => {Warm Terrestrial}",0.000566091140673648,0.5,0.0011321822813473,3.60510204081633,2
"{Cold Sub-Saturn,Hot Sub-Saturn} => {K}",0.000566091140673648,0.666666666666667,0.000849136711010473,2.22201257861635,2
"{Cold Sub-Saturn,Temperate Gas Giant} => {M}",0.0011321822813473,1,0.0011321822813473,18.4010416666667,4
"{Cold Sub-Saturn,M} => {Temperate Gas Giant}",0.0011321822813473,0.5,0.00226436456269459,11.3237179487179,4
"{Cold Sub-Saturn,Temperate Mini-Neptune} => {M}",0.000566091140673648,1,0.000566091140673648,18.4010416666667,2
"{Cold Sub-Saturn,Warm Gas Giant} => {M}",0.000566091140673648,0.5,0.0011321822813473,9.20052083333333,2
"{Cold Mini-Neptune,Warm Terrestrial} => {M}",0.000566091140673648,0.5,0.0011321822813473,9.20052083333333,2
"{Cold Mini-Neptune,Warm Terrestrial} => {Temperate Mini-Neptune}",0.000566091140673648,0.5,0.0011321822813473,7.85111111111111,2
"{Cold Mini-Neptune,Temperate Mini-Neptune} => {K}",0.000849136711010473,0.6,0.00141522785168412,1.99981132075472,3
